# lidar_stamp x y z roll pitch yaw
1577858786977416 23.470102 -12.187935 0.154395 3.124591 -3.126509 1.897214 
1577858787077481 23.599031 -12.596057 0.160091 3.125928 -3.125066 1.877507 
1577858787177823 23.726464 -13.035134 0.166553 3.126321 -3.122960 1.857176 
1577858787277846 23.852181 -13.448893 0.173814 3.125231 -3.120712 1.837460 
1577858787377504 23.960870 -13.920034 0.182536 3.123868 -3.119757 1.816810 
1577858787478382 24.076334 -14.393337 0.191833 3.122941 -3.120799 1.795628 
1577858787577582 24.169655 -14.862142 0.198917 3.123020 -3.122788 1.774723 
1577858787677478 24.260621 -15.360908 0.205843 3.123390 -3.124555 1.752563 
1577858787777802 24.346199 -15.865367 0.211908 3.123615 -3.125218 1.731379 
1577858787877806 24.418711 -16.352508 0.218092 3.124924 -3.124407 1.712543 
1577858787977425 24.451945 -16.855818 0.224811 3.125926 -3.123145 1.693846 
1577858788077041 24.543729 -17.439300 0.233460 3.126873 -3.122121 1.676927 
1577858788177314 24.595956 -17.943074 0.241404 3.126079 -3.120918 1.662242 
1577858788277410 24.640297 -18.514661 0.251000 3.125567 -3.120090 1.644972 
1577858788377762 24.676635 -19.098899 0.261655 3.126042 -3.120412 1.628363 
1577858788477320 24.674141 -19.661719 0.270421 3.128547 -3.120796 1.611386 
1577858788577340 24.724507 -20.276620 0.280486 3.130850 -3.121072 1.597358 
1577858788677645 24.731703 -20.875985 0.290236 3.132559 -3.121224 1.584913 
1577858788777816 24.726842 -21.520634 0.299567 3.133736 -3.122145 1.573905 
1577858788877353 24.728358 -22.162545 0.307607 3.134989 -3.123071 1.564300 
1577858788977632 24.720639 -22.773655 0.315361 3.136013 -3.124551 1.556019 
1577858789077383 24.701376 -23.415241 0.321978 3.135254 -3.125616 1.548098 
1577858789177354 24.648216 -24.036706 0.330285 3.135447 -3.125869 1.540651 
1577858789277611 24.667033 -24.744915 0.339940 3.136801 -3.125854 1.534692 
1577858789377689 24.634736 -25.438534 0.346484 3.138435 -3.125843 1.529565 
1577858789477387 24.562131 -26.083429 0.351751 3.137722 -3.126595 1.525158 
1577858789576938 24.565546 -26.802294 0.357877 3.137087 -3.127450 1.521817 
1577858789677229 24.521224 -27.553887 0.363449 3.137982 -3.128298 1.519021 
1577858789777261 24.483850 -28.243472 0.368956 3.139047 -3.128010 1.517421 
1577858789877624 24.437231 -29.025050 0.374335 3.139159 -3.126003 1.516156 
1577858789977374 24.391087 -29.795648 0.381610 3.138786 -3.124036 1.515414 
1577858790077226 24.344661 -30.537512 0.390514 3.139170 -3.122948 1.515225 
1577858790177513 24.288638 -31.332005 0.399654 3.139366 -3.123139 1.514841 
1577858790277595 24.258836 -32.088860 0.412256 3.138606 -3.123872 1.514484 
1577858790377249 24.212979 -32.827310 0.419574 3.138611 -3.125110 1.514070 
1577858790477501 24.157738 -33.698292 0.427452 3.139300 -3.125616 1.513763 
1577858790577105 24.111248 -34.529572 0.435125 3.139383 -3.125615 1.513302 
1577858790677143 24.020643 -35.335205 0.443311 3.139390 -3.124851 1.512727 
1577858790777450 24.008453 -36.219612 0.452252 3.139567 -3.123532 1.512173 
1577858790877525 23.958640 -37.011534 0.462024 3.140217 -3.122941 1.511964 
1577858790977360 23.904990 -37.928586 0.473978 3.140238 -3.123323 1.511964 
1577858791079518 23.847839 -38.853760 0.486119 3.140538 -3.123896 1.512346 
1577858791177033 23.791915 -39.737378 0.496756 3.140534 -3.124088 1.512729 
1577858791277101 23.746089 -40.590122 0.511120 3.140721 -3.123781 1.513039 
1577858791377513 23.688918 -41.517563 0.523205 3.140334 -3.123887 1.513485 
1577858791477470 23.633795 -42.441488 0.534408 3.140330 -3.124091 1.513880 
1577858791577088 23.576533 -43.360631 0.546580 3.141263 -3.124663 1.514246 
1577858791676852 23.523547 -44.325754 0.556090 -3.141339 -3.124664 1.514646 
1577858791776998 23.467695 -45.227923 0.565890 -3.140846 -3.124474 1.515029 
1577858791877111 23.415088 -46.214212 0.577590 -3.140585 -3.124284 1.515414 
1577858791977378 23.356871 -47.198443 0.587242 -3.140400 -3.125048 1.515987 
1577858792076979 23.305911 -48.099399 0.596002 -3.140216 -3.125813 1.516561 
1577858792177020 23.248496 -49.086990 0.605213 -3.140223 -3.126675 1.517233 
1577858792276638 23.202316 -50.034808 0.616999 -3.140353 -3.127220 1.517969 
1577858792377256 23.145636 -51.114019 0.587967 -3.140050 -3.128870 1.518699 
1577858792477189 23.083073 -52.099962 0.541141 -3.140248 -3.128299 1.519431 
1577858792577437 22.987520 -53.055361 0.505033 -3.139683 -3.128110 1.520008 
1577858792677088 22.983063 -54.111642 0.470162 -3.139687 -3.127729 1.520392 
1577858792776987 22.934588 -55.108117 0.465488 -3.139311 -3.127158 1.520777 
1577858792877274 22.874618 -56.125136 0.476085 -3.139694 -3.126586 1.520970 
1577858792977359 22.794302 -57.113444 0.486907 -3.139037 -3.127343 1.521159 
1577858793076978 22.781536 -58.083032 0.496549 -3.138556 -3.127350 1.521544 
1577858793177247 22.723797 -59.179676 0.507892 -3.138365 -3.126587 1.521545 
1577858793276833 22.681562 -60.135561 0.520904 -3.137413 -3.125634 1.521739 
1577858793376902 22.624202 -61.224738 0.536398 -3.137416 -3.125253 1.521931 
1577858793477202 22.577418 -62.229081 0.549316 -3.137290 -3.125635 1.522123 
1577858793577328 22.528199 -63.281402 0.562568 -3.137992 -3.125254 1.522315 
1577858793676931 22.479303 -64.327350 0.577791 -3.138374 -3.124613 1.522317 
1577858793777207 22.424749 -65.320024 0.591611 -3.138946 -3.123572 1.522319 
1577858793876919 22.371939 -66.401905 0.606307 -3.139900 -3.123347 1.522320 
1577858793976856 22.326509 -67.379569 0.621908 -3.140472 -3.124051 1.522318 
1577858794077169 22.274039 -68.454738 0.638237 -3.140856 -3.125423 1.522506 
1577858794177234 22.222493 -69.511688 0.650273 3.141385 -3.126589 1.522503 
1577858794276917 22.170165 -70.584078 0.664428 3.140806 -3.126208 1.522313 
1577858794377110 22.117441 -71.616143 0.675104 3.140429 -3.124691 1.521933 
1577858794476722 22.058484 -72.692947 0.689316 3.139479 -3.122772 1.521554 
1577858794576780 22.007033 -73.707519 0.703490 3.139441 -3.122925 1.521554 
1577858794677469 21.954808 -74.827892 0.716444 3.139482 -3.124950 1.521357 
1577858794777187 21.886892 -75.879158 0.727364 3.139296 -3.126586 1.520970 
1577858794876797 21.846222 -76.929576 0.735186 3.139868 -3.126586 1.520955 
1577858794977068 21.795966 -77.906305 0.740724 3.139916 -3.126205 1.520971 
1577858795076690 21.739415 -79.084779 0.748278 3.140761 -3.126396 1.521162 
1577858795176944 21.681810 -80.181664 0.755922 3.141392 -3.126014 1.521163 
1577858795277660 21.599826 -81.235581 0.770873 -3.141413 -3.125633 1.521163 
1577858795377183 21.577152 -82.347638 0.779339 -3.140850 -3.125634 1.521355 
1577858795477866 21.521693 -83.351271 0.786080 -3.140654 -3.125877 1.521547 
1577858795577873 21.467046 -84.534708 0.794612 -3.140341 -3.126206 1.521737 
1577858795676724 21.413636 -85.651840 0.801446 -3.140085 -3.126961 1.521735 
1577858795776682 21.357654 -86.725024 0.805604 -3.140085 -3.128305 1.521732 
1577858795876984 21.300333 -87.889442 0.809758 -3.139896 -3.129259 1.521922 
1577858795977058 21.247884 -88.936602 0.814450 -3.138814 -3.129640 1.521921 
1577858796076697 21.192336 -90.026660 0.817725 -3.138751 -3.128729 1.521923 
1577858796177021 21.131697 -91.172913 0.824531 -3.138568 -3.126215 1.521929 
1577858796276633 21.082939 -92.360616 0.841833 -3.139135 -3.123727 1.522127 
1577858796376685 21.025742 -93.455599 0.851658 -3.139943 -3.123155 1.522246 
1577858796476939 20.972300 -94.577218 0.862755 -3.140881 -3.123156 1.522320 
1577858796577013 20.906618 -95.733058 0.873869 3.140994 -3.123347 1.522511 
1577858796676684 20.855012 -96.798375 0.886302 3.140729 -3.122584 1.522705 
1577858796776961 20.794485 -98.027315 0.901177 3.140992 -3.122011 1.522706 
1577858796876542 20.741248 -99.141234 0.914630 3.140990 -3.122641 1.522896 
1577858796978897 20.638731 -100.292803 0.924507 3.140072 -3.125598 1.523082 
1577858797076873 20.627501 -101.418974 0.929096 3.138358 -3.128645 1.523458 
1577858797177197 20.572803 -102.602498 0.934248 3.137548 -3.130779 1.523645 
1577858797276577 20.488667 -103.720196 0.943795 3.137357 -3.127451 1.523652 
1577858797376860 20.469502 -104.841126 0.957254 3.136592 -3.121299 1.523859 
1577858797476450 20.380836 -106.000232 0.968956 3.137984 -3.119790 1.524437 
1577858797577430 20.363863 -107.240816 0.982580 3.139063 -3.123352 1.524621 
1577858797676830 20.316761 -108.308068 0.990999 3.139059 -3.126214 1.524998 
1577858797776924 20.262472 -109.521586 0.998430 3.137912 -3.126343 1.525189 
1577858797876532 20.210650 -110.657780 1.005869 3.137335 -3.125693 1.525574 
1577858797976808 20.151706 -111.834204 1.014554 3.135203 -3.125262 1.525767 
1577858798076457 20.100351 -113.037034 1.022037 3.132562 -3.125453 1.525958 
1577858798176456 20.044986 -114.194975 1.039458 3.132370 -3.124137 1.526154 
1577858798276773 19.999088 -115.365756 1.060361 3.130650 -3.120494 1.526353 
1577858798376927 19.945272 -116.533648 1.072313 3.129692 -3.118413 1.526725 
1577858798476485 19.898459 -117.618247 1.083591 3.127970 -3.119352 1.527123 
1577858798576780 19.840744 -118.827021 1.096931 3.124945 -3.120115 1.527313 
