# timestamp x y z roll pitch yaw
1577858934741124 -833.534861 -513.384884 5.251823 0.006555 0.001655 2.326114
1577858934751747 -833.534861 -513.384884 5.251823 0.006555 0.001655 2.326114
1577858934761896 -833.693681 -513.219067 5.251337 0.006556 0.001843 2.326308
1577858934772976 -833.729032 -513.174185 5.250932 0.006556 0.001843 2.326308
1577858934783216 -833.858395 -513.045779 5.249784 0.006556 0.001843 2.326308
1577858934793962 -833.893745 -513.000906 5.248380 0.006556 0.002034 2.326309
1577858934804599 -834.017216 -512.879980 5.247300 0.006556 0.002034 2.326309
1577858934815717 -834.052566 -512.835089 5.247894 0.006556 0.002225 2.326311
1577858934826428 -834.167327 -512.707294 5.247747 0.006556 0.002225 2.326311
1577858934837334 -834.211387 -512.669272 5.247409 0.006556 0.002225 2.326311
1577858934848172 -834.332039 -512.533996 5.247194 0.006747 0.002225 2.326311
1577858934858414 -834.376100 -512.495974 5.246857 0.006937 0.002225 2.326311
1577858934869094 -834.490860 -512.368179 5.246709 0.007128 0.002225 2.326311
1577858934879505 -834.543631 -512.337017 5.246438 0.007128 0.002225 2.326311
1577858934889871 -834.643789 -512.209842 5.246291 0.006747 0.002416 2.326313
1577858934900840 -834.802610 -512.044025 5.245805 0.005411 0.002797 2.326317
1577858934911293 -834.837961 -511.999143 5.245400 0.004650 0.002986 2.326510
1577858934922097 -834.952721 -511.871348 5.245253 0.002742 0.003559 2.326516
1577858934932927 -834.996782 -511.833326 5.244916 0.002170 0.003750 2.326517
1577858934943463 -835.111542 -511.705540 5.243768 0.000646 0.004320 2.326715
1577858934953668 -835.155603 -511.667518 5.243430 0.000264 0.004511 2.326717
1577858934964719 -835.270363 -511.539723 5.243282 0.000074 0.004890 2.326913
1577858934975339 -835.305714 -511.494841 5.242877 0.000265 0.004890 2.326913
1577858934986202 -835.435077 -511.366435 5.241729 0.001028 0.004700 2.326911
1577858934996312 -835.479138 -511.328441 5.238393 0.001219 0.004509 2.326909
1577858935006513 -835.593899 -511.200645 5.238244 0.001982 0.004318 2.326907
1577858935017340 -835.643851 -511.155143 5.237839 0.002363 0.004318 2.326907
1577858935027622 -835.758612 -511.027357 5.236692 0.002935 0.004129 2.326713
1577858935037611 -835.793962 -510.982475 5.236287 0.003125 0.003939 2.326711
1577858935047943 -835.917433 -510.861540 5.236207 0.003698 0.003176 2.326704
1577858935058255 -835.952783 -510.816658 5.235802 0.004079 0.002031 2.326692
1577858935069476 -836.076254 -510.695732 5.234721 0.004080 0.001648 2.326881
1577858935081215 -836.235076 -510.529924 5.233236 0.004080 0.001648 2.326881
1577858935091112 -836.270425 -510.485033 5.233830 0.004652 0.000122 2.326866
1577858935101270 -836.391078 -510.349767 5.232615 0.005034 -0.000832 2.326856
1577858935112251 -836.435138 -510.311745 5.232278 0.005225 -0.001404 2.326851
1577858935123053 -836.549899 -510.183950 5.232130 0.005416 -0.002742 2.327030
1577858935133948 -836.593959 -510.145928 5.231793 0.005416 -0.003123 2.327026
1577858935144536 -836.708720 -510.018142 5.230645 0.005415 -0.003121 2.326834
1577858935160075 -836.867542 -509.852344 5.228159 0.003889 -0.006936 2.326797
1577858935170789 -836.908784 -509.799991 5.226687 0.003508 -0.007508 2.326791
1577858935180847 -837.032256 -509.679065 5.225607 0.003507 -0.007506 2.326599
1577858935191307 -837.067606 -509.634183 5.225202 0.002935 -0.009605 2.326578
1577858935201954 -837.191077 -509.513248 5.225121 0.002744 -0.010749 2.326567
